[2026-03-07 09:40:00] step=6000 loss=4.1875 lr=0.008000 tok/s=123 VRAM=23138 MiB, 32607 MiB
[2026-03-07 10:40:00] step=6850 loss=4.1790 lr=0.008000 tok/s=127 VRAM=23263 MiB, 32607 MiB
[2026-03-07 11:40:00] step=7750 loss=4.0447 lr=0.008000 tok/s=125 VRAM=23256 MiB, 32607 MiB
[2026-03-07 12:40:00] step=8600 loss=4.0355 lr=0.008000 tok/s=122 VRAM=23256 MiB, 32607 MiB
[2026-03-07 13:40:00] step=8450 loss=3.9549 lr=0.008000 tok/s=122 VRAM=23223 MiB, 32607 MiB
[2026-03-07 14:40:00] step=9300 loss=3.9539 lr=0.008000 tok/s=126 VRAM=23261 MiB, 32607 MiB
[2026-03-07 15:40:01] step=8300 loss=4.0377 lr=0.008000 tok/s=116 VRAM=23296 MiB, 32607 MiB
[2026-03-07 16:40:01] step=9200 loss=3.9187 lr=0.008000 tok/s=128 VRAM=23296 MiB, 32607 MiB
[2026-03-07 17:40:01] step=10050 loss=3.9135 lr=0.008000 tok/s=125 VRAM=23299 MiB, 32607 MiB
[2026-03-07 18:40:01] step=10900 loss=3.9644 lr=0.008000 tok/s=124 VRAM=23331 MiB, 32607 MiB
[2026-03-07 19:40:01] step=11800 loss=3.8712 lr=0.008000 tok/s=122 VRAM=23328 MiB, 32607 MiB
